ResourceID,Geometric Place Expression,External Dataset,External Entity,External Dataset Resource Name,Place Name,Name Type,External Resource Site Class,External Resource Site Type,External Resource Count,Cultural Period Type,Cultural Sub-period Type,Remark,Remark Type,External Entity
4db5afc8-fff6-4a69-861e-881cd1b33eff,POINT (91.85601667 47.0436),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0070,"""Улаан говийн амны хиригсүүр 1""",Toponym,Burial Site,Khirigsuur,1,Bronze Age,,,,99d2f041-7dfc-436b-9922-0a8643e97897
e033adc4-3b36-4d84-97fa-b32f32f58f6a,POINT (91.85488333 47.04228333),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0071,"""Улаан говийн амны хиригсүүр 2""",Toponym,Burial Site,Khirigsuur,1,Bronze Age,,,,99d2f041-7dfc-436b-9922-0a8643e97897
ef5d00b2-729b-4803-9ebe-da04acaa1d45,POINT (91.85866667 47.03245),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0072,"""Улаан говийн амны хиригсүүр 4""",Toponym,Burial Site,Khirigsuur,1,Bronze Age,,,,99d2f041-7dfc-436b-9922-0a8643e97897
6434224a-bd16-42ca-a3b4-1ef6ab66e5c0,POINT (91.84865 47.03151667),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0073,"""Улаан говийн амны хиригсүүр 5""",Toponym,Burial Site,Khirigsuur,1,Bronze Age,,,,99d2f041-7dfc-436b-9922-0a8643e97897
a71236a1-a4f0-4c9f-bb9f-df2a6352a9b5,POINT (91.84625 47.03536667),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0074,"""Улаан говийн амны хиригсүүр 6""",Toponym,Burial Site,Khirigsuur,1,Bronze Age,,,,99d2f041-7dfc-436b-9922-0a8643e97897
7b1cfae8-72c5-4f38-ac10-12c8406ccf27,POINT (91.84385 47.03743333),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0075,"""Улаан говийн амны хиригсүүр 7""",Toponym,Burial Site,Khirigsuur,1,Bronze Age,,,,99d2f041-7dfc-436b-9922-0a8643e97897
3a36ec30-6db1-4bad-ac91-8f8a7b4c18fa,POINT (91.8471 47.04006667),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0076,"""Улаан говийн амны хиригсүүр 8""",Toponym,Burial Site,Khirigsuur,2,Bronze Age,,,,99d2f041-7dfc-436b-9922-0a8643e97897
b3ce8da4-0d37-4ec2-bb62-d57a0bd965c6,POINT (91.84788333 47.0444),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0077,"""Улаан говийн амны хиригсүүр 9""",Toponym,Burial Site,Khirigsuur,1,Bronze Age,,,,99d2f041-7dfc-436b-9922-0a8643e97897
6e17955d-f77c-4238-9a99-c889adfc4743,POINT (91.51121667 47.9416),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0078,"""Улаан худаг I.I""",Toponym,Burial Site,Khemceg Burial,1,Bronze Age,Early Bronze Age,,,99d2f041-7dfc-436b-9922-0a8643e97897
2f4d4dd4-a7cb-42c4-9113-8ed974908b1c,POINT (91.5139 47.94253333),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0079,"""Улаан худаг I.XII""",Toponym,Burial Site,Khemceg Burial,1,Bronze Age,Early Bronze Age,,,99d2f041-7dfc-436b-9922-0a8643e97897
